Period,Existing Accounts,,,,,
2007 Q1,41789,,,,,
2007 Q2,43206,,,,,
2007 Q3,44478,,,,,
2007 Q4,43744,,,,,
2008 Q1,42246,,,,,
2008 Q2,41477,,,,,
2008 Q3,40056,,,,,
2008 Q4,39462,,,,,
2009 Q1,49717,,,,,
2009 Q2,51419,,,,,
2009 Q3,53201,,,,,
2009 Q4,52691,,,,,
2010 Q1,51613,,,,,
2010 Q2,51058,,,,,
2010 Q3,51730,,,,,
2010 Q4,50258,,,,,
2011 Q1,50927,,,,,
2011 Q2,52337,,,,,
2011 Q3,53094,,,,,
2011 Q4,51619,,,,,
2012 Q1,52670,,,,,
2012 Q2,53825,,,,,
2012 Q3,54763,,,,,
2012 Q4,53816,,,,,
2013 Q1,55060,,,,,
2013 Q2,55773,,,,,
2013 Q3,56423,,,,,
2013 Q4,55241,,,,,
2014 Q1,56425,,,,,
2014 Q2,57262,,,,,
2014 Q3,57794,,,,,
2014 Q4,56396,,,,,
2015 Q1,57522,,,,,
2015 Q2,58345,,,,,
2015 Q3,57725,,,,,
2015 Q4,56960,,,,,
2016 Q1,55576,,,,,
2016 Q2,54216,,,,,
2016 Q3,51772,,,,,
2016 Q4,50582,,,,,
2017 Q1,47486,,,,,
2017 Q2,43262,,,,,
