Period,New Accounts
2007 Q1,5811
2007 Q2,6423
2007 Q3,6930
2007 Q4,6197
2008 Q1,6094
2008 Q2,5864
2008 Q3,5230
2008 Q4,4745
2009 Q1,4975
2009 Q2,5447
2009 Q3,6613
2009 Q4,5904
2010 Q1,5431
2010 Q2,4603
2010 Q3,4782
2010 Q4,4005
2011 Q1,4155
2011 Q2,4873
2011 Q3,5057
2011 Q4,4680
2012 Q1,5243
2012 Q2,5967
2012 Q3,6712
2012 Q4,6612
2013 Q1,7478
2013 Q2,7788
2013 Q3,8141
2013 Q4,7433
2014 Q1,7915
2014 Q2,8037
2014 Q3,8916
2014 Q4,8024
2015 Q1,8815
2015 Q2,9592
2015 Q3,7030
2015 Q4,6834
2016 Q1,6066
2016 Q2,5932
2016 Q3,5690
2016 Q4,4678
2017 Q1,2299
2017 Q2,1510
